hand_name,min_cards,criteria_summary,base_chips,base_mult,is_secret_hand,notes
Five of a Kind,5,Five cards with the same rank which are not all the same suit.,120,12,yes,
Flush,5,Five cards of any rank that all share the same suit.,35,4,no,
Flush Five,5,Five cards with the same rank and same suit.,160,16,yes,
Flush House,5,"Three cards with the same rank, and two cards with the same rank, all from a single suit.",140,14,yes,
Four of a Kind,4,Four cards with a matching rank. Suits may be different.,60,7,no,
Full House,5,"Three cards with a matching rank and two cards with a different matching rank, with cards from at least two or more suits.",40,4,no,
High Card,1,"When no other hand is possible, the one highest card in your hand. Aces are counted high for this hand.",5,1,no,
Pair,2,Two cards with a matching rank. Suits may be different.,10,2,no,
Royal Flush,5,"A Straight Flush that contains an Ace, King, Queen, Jack, and 10 on the same suit. (For most purposes, such as hand levels, number of hands played for Obelisk and Supernova and hands for The Eye and The Mouth, this is equivalent to a Straight Flush.)",100,8,no,
Straight,5,"Five cards with ranks that are in consecutive order. Suits may be different. Aces can be counted as high (A K Q J 10) or low (A 2 3 4 5), however, not at the same time (K A 2 3 4 is not valid).",30,4,no,
Straight Flush,5,Five cards in consecutive order that all share the same suit.,100,8,no,
Three of a Kind,3,Three cards with a matching rank. Suits may be different.,30,3,no,
Two Pair,4,Two cards with a matching rank and two cards with a different matching rank. Suits may differ.,20,2,no,
